Company	HQ	Est Size	Stage	Contact	Title	LinkedIn/Source	Notes
Textio	Seattle, WA	~46 emp; eng <<150	Series B (~$44M raised)	Jensen Harris	CTO / Co-Founder (returned from CEO 2026)	https://www.linkedin.com/in/jensenharris	AI hiring/interview intelligence; classic mid-market SaaS eng buyer
Textio	Seattle, WA	~46 emp; eng <<150	Series B	Mykel Rangel	VP of Engineering	https://www.linkedin.com/in/mykel-rangel-18963322	Owns eng delivery for Lavalier AI product
RecordPoint	Bellevue, WA	~100–150 emp; eng <150	Growth / PE-backed (~$20–30M rev)	Josh Mason	Chief Technology Officer	https://www.linkedin.com/in/jmason-exec	Data privacy/records SaaS; prior VP Eng at same co
Jama Software	Portland, OR	~223 emp; ~67 technical	PE / late-stage ($1.4B total funding reported)	Jim Davidson	Chief Technology Officer	https://www.linkedin.com/in/jim-davidson-0848a8	Requirements-mgmt B2B SaaS; tech dept ~22% of headcount
Jama Software	Portland, OR	~223 emp; ~67 technical	PE / late-stage	Premi Vinayagam	VP, Engineering	https://www.linkedin.com/in/premi-vinayagam	Listed on company leadership page; global eng org
TeamSense	Seattle, WA	~30–40 emp; eng <<150	Early / ~$4M raised	Abika Nimmakayala	CTO (also styled VP Eng)	https://www.onelogin.com/resource-center/customer-stories/optimized-lifecycle-management-streamlines-efforts-for-teamsense	Frontline workforce SaaS; named CTO in OneLogin case study
Intaker	Los Angeles, CA	~59 emp; eng <<150	Growth (no large late round public)	Erfan Dehghanfar	Co-Founder & CTO	https://www.linkedin.com/in/dehghanfar	Legal-tech marketing/intake SaaS
Age of Learning	Glendale, CA	~284 emp; eng likely <150	Growth / ~$531M raised	Yamen Sarah	Chief Technology Officer	https://www.linkedin.com/in/yamen-sarah	Edtech (ABCmouse); on company leadership page
Age of Learning	Glendale, CA	~284 emp; eng likely <150	Growth	Arsen Ghazaryan	Senior Director of Engineering	https://www.linkedin.com/in/arsenghazaryan	Long-tenure eng director under CTO
Gravity Payments	Seattle, WA	~163 emp; eng <<150	Private / profitable mid-market	Jesse Angell	Chief Technology Officer	https://www.linkedin.com/in/jesseangell	Payments processing; eng-led product org
Hiya	Seattle, WA	~150–200 emp; eng likely <150	Series A (~$23M raised)	Anthony Mendonca	VP of Engineering	https://www.linkedin.com/in/anthonyjmendonca	Voice security / branded calling SaaS; on hiya.com leadership
Edge Delta	Seattle, WA	~50 emp; ~23 technical	Series B (~$82M raised)	Fatih Yildiz	Co-Founder & CTO	https://www.linkedin.com/in/yildizfatih	Observability / telemetry pipelines; eng-tooling buyer
Edge Delta	Seattle, WA	~50 emp; ~23 technical	Series B	Hüseyin Özgür Batur	Head of Engineering	https://www.linkedin.com/in/ozgurbtr	Leads eng (remote TR); reports into Seattle HQ product
Auger	Bellevue, WA	~129 emp; ~79 technical	Series B (~$150M+ raised)	Sanjay Dash	Chief Technology Officer	https://www.linkedin.com/in/sanjay-dash-0a66332	AI supply-chain OS; Amazon-alum eng leadership; high technical density
Happy Money	Torrance, CA (LA)	~137 emp; eng <150	Growth (~$837M raised incl. debt)	Scott Mulloy	Chief Technology Officer	https://www.linkedin.com/in/scottmulloy	Consumer fintech lending platform
Happy Money	Torrance, CA (LA)	~137 emp; eng <150	Growth	Avi Saada	Director of Engineering	https://www.linkedin.com/in/avisaada	Hands-on eng director; good mid-funnel contact
TrueCar	Santa Monica, CA	~349 emp (SEC YE2024); eng likely ≤150	Public (NASDAQ: TRUE)	Martin Prescher	EVP & CTO	https://www.linkedin.com/in/mprescher	STRETCH on total emp; auto marketplace; verify eng headcount before outreach
TrueCar	Santa Monica, CA	~349 emp; eng likely ≤150	Public	Bennett Neale	VP, Software Engineering	https://www.linkedin.com/in/bennettneale	STRETCH; owns software/infra eng
UpKeep	Los Angeles, CA	~100–165 emp; eng <150	Series B / Accel-KKR (~$49M raised)	Nachiket Shiralkar	Chief Technology Officer	https://www.linkedin.com/in/nshiralkar	CMMS / asset-ops B2B SaaS; strong CoopAI fit
Gradial	Seattle, WA	~70–100 emp; eng <<150	Series C (~$110M+ raised)	Deip Kumar	Co-Founder & CTO	https://www.linkedin.com/in/deip-kumar	Agentic marketing ops SaaS; high-growth Seattle AI
